i=0; b,a->ab; size_dict={'a': 2, 'b': 2};
i=338; cfcae,dcbcf->aedb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 4, 'e': 2, 'f': 2};
i=339; eca,db->cebda; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 2, 'e': 4};
i=340; gce,bcabfd->gcaebd; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2};
i=341; bcda,ab->cd; size_dict={'a': 4, 'b': 4, 'c': 2, 'd': 4};
i=342; dac,dab->ab; size_dict={'a': 2, 'b': 6, 'c': 2, 'd': 5};
i=343; acbac,bad->dc; size_dict={'a': 13, 'b': 2, 'c': 2, 'd': 2};
i=344; aecd,efdb->bfca; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 2, 'e': 2, 'f': 2};
i=345; dcb,ab->ca; size_dict={'a': 7, 'b': 2, 'c': 4, 'd': 2};
i=346; a,b->b; size_dict={'a': 11, 'b': 11};
i=347; db,adc->bdac; size_dict={'a': 2, 'b': 3, 'c': 3, 'd': 6};
i=348; agfecdb,dgce->cfbe; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2};
i=349; fcab,bed->baefdc; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 2, 'e': 2, 'f': 2};
i=350; acdef,bcfg->gebd; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2};
i=351; bcad,ad->bc; size_dict={'a': 14, 'b': 3, 'c': 2, 'd': 2};
i=352; dbae,cad->cbe; size_dict={'a': 2, 'b': 2, 'c': 7, 'd': 2, 'e': 3};
i=353; acde,bac->bde; size_dict={'a': 2, 'b': 2, 'c': 7, 'd': 2, 'e': 3};
i=354; cba,add->bcd; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 11};
i=355; ddb,cbdac->ac; size_dict={'a': 2, 'b': 2, 'c': 8, 'd': 5};
i=356; cae,efbdga->bgdcfa; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2};
i=357; ca,bdac->dba; size_dict={'a': 6, 'b': 7, 'c': 2, 'd': 2};
i=358; acedb,dbd->cae; size_dict={'a': 2, 'b': 5, 'c': 4, 'd': 2, 'e': 2};
i=359; ed,ceab->cadb; size_dict={'a': 2, 'b': 11, 'c': 2, 'd': 2, 'e': 2};
i=360; dfgbe,cbaefgd->ca; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2};
i=361; abc,cb->a; size_dict={'a': 6, 'b': 10, 'c': 3};
i=362; beda,cbe->dac; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 5, 'e': 2};
i=363; bced,acdb->ae; size_dict={'a': 2, 'b': 2, 'c': 5, 'd': 2, 'e': 4};
i=364; cd,bac->bda; size_dict={'a': 5, 'b': 2, 'c': 2, 'd': 8};
i=365; beadcf,cecf->bda; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 3};
i=366; bacca,b->bca; size_dict={'a': 2, 'b': 14, 'c': 6};
i=367; bcda,bacd->; size_dict={'a': 2, 'b': 2, 'c': 6, 'd': 7};
i=368; abdcf,dcfaeb->e; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 2, 'e': 2, 'f': 3};
i=369; bacd,ced->bae; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 3, 'e': 3};
i=370; bad,abc->dc; size_dict={'a': 2, 'b': 5, 'c': 3, 'd': 5};
i=371; bac,cab->b; size_dict={'a': 2, 'b': 4, 'c': 22};
i=372; cedba,b->ae; size_dict={'a': 2, 'b': 5, 'c': 4, 'd': 2, 'e': 2};
i=373; ebba,dbcbf->cdbeaf; size_dict={'a': 2, 'b': 5, 'c': 2, 'd': 2, 'e': 2, 'f': 2};
i=374; dca,cab->cdb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 16};
i=375; dba,bdc->ac; size_dict={'a': 2, 'b': 2, 'c': 8, 'd': 5};
i=376; fbdce,bfac->ad; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 2, 'e': 2, 'f': 3};
i=377; aedec,fab->cfbd; size_dict={'a': 2, 'b': 3, 'c': 3, 'd': 2, 'e': 2, 'f': 2};
i=378; bdace,febdc->fa; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 2, 'e': 3, 'f': 2};
i=379; bc,dca->ba; size_dict={'a': 2, 'b': 2, 'c': 6, 'd': 7};
i=380; dcb,ac->bad; size_dict={'a': 3, 'b': 3, 'c': 6, 'd': 3};
i=381; acb,c->bca; size_dict={'a': 7, 'b': 12, 'c': 2};
i=382; dc,bcba->adcb; size_dict={'a': 3, 'b': 5, 'c': 4, 'd': 3};
i=383; baef,cbd->adcef; size_dict={'a': 3, 'b': 2, 'c': 3, 'd': 2, 'e': 2, 'f': 2};
i=384; dcba,->bacd; size_dict={'a': 13, 'b': 3, 'c': 2, 'd': 2};
i=385; da,abc->db; size_dict={'a': 2, 'b': 2, 'c': 7, 'd': 6};
i=386; cdea,acbec->bed; size_dict={'a': 3, 'b': 3, 'c': 3, 'd': 3, 'e': 3};
i=387; effa,gbedc->cdfabg; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 3};
i=388; edac,fbcbd->ef; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 2, 'e': 2, 'f': 5};
i=389; abcd,ce->eb; size_dict={'a': 2, 'b': 5, 'c': 2, 'd': 4, 'e': 3};
i=390; agcfb,eecdg->dbfea; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 2};
i=391; hd,bfhaceg->abfdegc; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2};
i=392; dcb,adc->ba; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 17};
i=393; cdabfge,cbe->bdgc; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2};
i=394; ccadb,fe->beacfd; size_dict={'a': 3, 'b': 2, 'c': 3, 'd': 3, 'e': 2, 'f': 2};
i=395; cbead,c->dbae; size_dict={'a': 2, 'b': 2, 'c': 8, 'd': 4, 'e': 2};
i=396; bcd,dab->cb; size_dict={'a': 5, 'b': 5, 'c': 3, 'd': 3};
i=397; cba,bda->cdb; size_dict={'a': 20, 'b': 2, 'c': 3, 'd': 2};
i=398; gfca,fbgde->cbafde; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 2, 'e': 2, 'f': 2, 'g': 2};
i=399; ca,bc->ab; size_dict={'a': 5, 'b': 6, 'c': 8};
i=400; cefa,dfbb->ebdac; size_dict={'a': 2, 'b': 2, 'c': 5, 'd': 2, 'e': 2, 'f': 3};
i=401; bed,ca->badce; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 6, 'e': 2};
i=402; ebadb,bcda->ec; size_dict={'a': 5, 'b': 3, 'c': 2, 'd': 2, 'e': 3};
i=403; dae,adbec->cbea; size_dict={'a': 2, 'b': 2, 'c': 5, 'd': 2, 'e': 6};
i=404; abc,adbdce->d; size_dict={'a': 6, 'b': 2, 'c': 2, 'd': 2, 'e': 5};
i=405; daa,cdb->dab; size_dict={'a': 4, 'b': 2, 'c': 13, 'd': 2};
i=406; adgcf,acfbe->dbge; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 2};
i=407; fcdabe,bc->aefdb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 4, 'f': 3};
i=408; a,bb->ba; size_dict={'a': 12, 'b': 20};
i=409; bc,ba->ac; size_dict={'a': 12, 'b': 2, 'c': 10};
i=410; efdcd,fbac->daefb; size_dict={'a': 2, 'b': 3, 'c': 4, 'd': 2, 'e': 2, 'f': 2};
i=411; c,ab->cba; size_dict={'a': 4, 'b': 3, 'c': 18};
i=412; aecd,fbab->dcfbe; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 4, 'e': 2, 'f': 2};
i=413; daegdc,adebf->fcabg; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 2};
i=414; dbac,ac->dbc; size_dict={'a': 3, 'b': 5, 'c': 5, 'd': 3};
i=415; eabdc,adeb->c; size_dict={'a': 2, 'b': 2, 'c': 15, 'd': 2, 'e': 2};
i=416; fdeaa,dbacef->cb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 6};
i=417; dc,dfbae->bcefa; size_dict={'a': 4, 'b': 2, 'c': 4, 'd': 2, 'e': 2, 'f': 2};
i=418; db,acb->acd; size_dict={'a': 2, 'b': 8, 'c': 8, 'd': 2};
i=419; deb,bgafc->gcaf; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 2, 'g': 2};
i=420; daeb,ca->cedb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 10, 'e': 3};
i=421; cdbb,acb->ad; size_dict={'a': 2, 'b': 6, 'c': 2, 'd': 8};
i=422; fgbae,dcbg->facde; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 4, 'e': 2, 'f': 2, 'g': 2};
i=423; fdgbechaa,gb->efca; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2};
i=424; cae,edbgf->cdabfg; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 2, 'g': 2};
i=425; dc,ab->cba; size_dict={'a': 6, 'b': 5, 'c': 4, 'd': 2};
i=426; ab,cb->ca; size_dict={'a': 2, 'b': 57, 'c': 2};
i=427; bc,acdd->bad; size_dict={'a': 3, 'b': 5, 'c': 5, 'd': 4};
i=428; abdcg,ef->cbfd; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 4};
i=429; dfacbe,gbf->edacg; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 4, 'f': 2, 'g': 2};
i=430; bdceaf,ecacf->db; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 5};
i=431; adbfc,becaf->deb; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 2, 'e': 2, 'f': 5};
i=432; eafd,acdb->caebf; size_dict={'a': 2, 'b': 3, 'c': 4, 'd': 2, 'e': 2, 'f': 3};
i=433; cagfd,aceb->edg; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 3, 'g': 2};
i=434; eacg,aebcdef->bad; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 2, 'e': 3, 'f': 2, 'g': 2};
i=435; ab,caa->bca; size_dict={'a': 13, 'b': 13, 'c': 2};
i=436; ceacd,fcab->becaf; size_dict={'a': 2, 'b': 2, 'c': 8, 'd': 2, 'e': 2, 'f': 2};
i=437; efdf,bcggad->cgdfbae; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 4, 'f': 2, 'g': 2};
i=438; bde,edcabc->ac; size_dict={'a': 3, 'b': 3, 'c': 2, 'd': 4, 'e': 4};
i=439; bc,abc->a; size_dict={'a': 13, 'b': 6, 'c': 4};
i=440; abc,c->ab; size_dict={'a': 3, 'b': 13, 'c': 9};
i=441; dbgcfa,ecgb->fagedb; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 2, 'e': 3, 'f': 2, 'g': 2};
i=442; eced,acdb->ea; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 13, 'e': 2};
i=443; cgafb,de->edabfgc; size_dict={'a': 2, 'b': 3, 'c': 3, 'd': 2, 'e': 2, 'f': 2, 'g': 2};
i=444; a,cb->ac; size_dict={'a': 2, 'b': 7, 'c': 20};
i=445; acdb,d->ab; size_dict={'a': 5, 'b': 4, 'c': 2, 'd': 9};
i=446; bdeba,dbgfc->acfeg; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 5, 'e': 2, 'f': 2, 'g': 2};
i=447; da,dcba->bcd; size_dict={'a': 4, 'b': 21, 'c': 2, 'd': 2};
i=448; fdea,eebac->cfdb; size_dict={'a': 3, 'b': 2, 'c': 3, 'd': 2, 'e': 3, 'f': 3};
i=449; abab,a->b; size_dict={'a': 29, 'b': 12};
i=450; ba,becd->cead; size_dict={'a': 8, 'b': 2, 'c': 2, 'd': 5, 'e': 2};
i=451; a,bc->cb; size_dict={'a': 54, 'b': 2, 'c': 3};
i=452; eba,edcabb->ac; size_dict={'a': 5, 'b': 3, 'c': 3, 'd': 2, 'e': 4};
i=453; fcaed,dabecf->fb; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 6};
i=454; ab,acb->ac; size_dict={'a': 12, 'b': 14, 'c': 2};
i=455; aecd,eacbd->cbe; size_dict={'a': 2, 'b': 2, 'c': 7, 'd': 2, 'e': 5};
i=456; eab,cdeb->ecda; size_dict={'a': 6, 'b': 2, 'c': 2, 'd': 2, 'e': 7};
i=457; fadce,cedb->fbad; size_dict={'a': 3, 'b': 3, 'c': 2, 'd': 4, 'e': 2, 'f': 2};
i=458; fca,fbdcaee->efb; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 2, 'e': 5, 'f': 2};
i=459; bc,adb->cbda; size_dict={'a': 8, 'b': 2, 'c': 3, 'd': 7};
i=460; baec,bgcfde->afdc; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 2, 'e': 2, 'f': 2, 'g': 3};
i=461; fdabce,eadb->dcf; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 11};
i=462; aecb,cced->abd; size_dict={'a': 4, 'b': 4, 'c': 5, 'd': 2, 'e': 2};
i=463; abce,edba->c; size_dict={'a': 3, 'b': 2, 'c': 4, 'd': 3, 'e': 4};
i=464; ac,dbac->b; size_dict={'a': 2, 'b': 13, 'c': 7, 'd': 2};
i=465; eagd,fcbgdf->gafbed; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 3};
i=466; cbdafeg,eabg->dec; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 5, 'f': 2, 'g': 3};
i=467; fdabgc,gfchbe->ahde; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2};
i=468; abc,bc->cab; size_dict={'a': 13, 'b': 5, 'c': 7};
i=469; ab,beacd->db; size_dict={'a': 2, 'b': 10, 'c': 6, 'd': 2, 'e': 2};
i=470; c,ba->bac; size_dict={'a': 9, 'b': 26, 'c': 2};
i=471; edfgba,cea->dfcbg; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 5, 'e': 2, 'f': 3, 'g': 2};
i=472; egcd,gdfba->febc; size_dict={'a': 6, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2};
i=473; ab,aab->a; size_dict={'a': 5, 'b': 102};
i=474; bdca,bd->ca; size_dict={'a': 6, 'b': 9, 'c': 4, 'd': 2};
i=475; eca,eacdb->deb; size_dict={'a': 10, 'b': 2, 'c': 2, 'd': 6, 'e': 2};
i=476; bahgefi,iadgic->fhec; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2};
i=477; abc,a->bc; size_dict={'a': 9, 'b': 3, 'c': 18};
i=478; cgfd,cabeg->ef; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 5, 'e': 2, 'f': 3, 'g': 2};
i=479; ceb,dcfa->badfe; size_dict={'a': 2, 'b': 8, 'c': 2, 'd': 3, 'e': 2, 'f': 2};
i=480; bab,b->a; size_dict={'a': 100, 'b': 5};
i=481; cac,cba->bc; size_dict={'a': 6, 'b': 4, 'c': 20};
i=482; fdgc,acfbeg->aegd; size_dict={'a': 4, 'b': 2, 'c': 3, 'd': 2, 'e': 2, 'f': 2, 'g': 2};
i=483; bca,cb->a; size_dict={'a': 2, 'b': 19, 'c': 13};
i=484; bef,facd->baedc; size_dict={'a': 4, 'b': 2, 'c': 5, 'd': 2, 'e': 3, 'f': 2};
i=485; bffce,daea->bcfda; size_dict={'a': 3, 'b': 3, 'c': 2, 'd': 3, 'e': 2, 'f': 4};
i=486; bceab,cabeda->da; size_dict={'a': 2, 'b': 2, 'c': 10, 'd': 2, 'e': 6};
i=487; aeadd,ceb->dcab; size_dict={'a': 3, 'b': 3, 'c': 3, 'd': 5, 'e': 3};
i=488; bfdeac,edccg->gf; size_dict={'a': 3, 'b': 5, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2};
i=489; ba,caab->bca; size_dict={'a': 4, 'b': 4, 'c': 29};
i=490; cdbe,deacb->dea; size_dict={'a': 2, 'b': 5, 'c': 4, 'd': 2, 'e': 6};
i=491; ebdc,acb->ed; size_dict={'a': 3, 'b': 4, 'c': 2, 'd': 10, 'e': 2};
i=492; dfbechg,beaf->dahc; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 4, 'e': 2, 'f': 2, 'g': 2, 'h': 2};
i=493; ced,bafced->bfad; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 2, 'e': 5, 'f': 3};
i=494; cbdgf,afcdge->caeb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 2, 'g': 4};
i=495; cb,cba->a; size_dict={'a': 2, 'b': 12, 'c': 20};
i=496; bc,baecd->dea; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 9, 'e': 7};
i=497; abfcdc,bdfhegcfa->egh; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2};
i=498; ab,ab->a; size_dict={'a': 156, 'b': 3};
i=499; ca,cbdaa->bd; size_dict={'a': 3, 'b': 8, 'c': 10, 'd': 2};
i=500; ,cab->bca; size_dict={'a': 8, 'b': 7, 'c': 9};
i=501; fagebc,gdaefb->fedg; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 6};
i=502; d,dcbadb->dacb; size_dict={'a': 5, 'b': 4, 'c': 8, 'd': 3};
i=503; achg,daebfhcg->bfdec; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 4, 'e': 2, 'f': 2, 'g': 2, 'h': 2};
i=504; abgecc,dbcffg->defa; size_dict={'a': 2, 'b': 3, 'c': 3, 'd': 2, 'e': 2, 'f': 3, 'g': 3};
i=505; gadbf,ace->fgcdbe; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 2, 'e': 6, 'f': 2, 'g': 2};
i=506; acb,adcb->d; size_dict={'a': 7, 'b': 5, 'c': 4, 'd': 5};
i=507; ad,cb->cdba; size_dict={'a': 2, 'b': 13, 'c': 2, 'd': 12};
i=508; faehgc,dcbhg->edfa; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 5};
i=509; cbda,c->abd; size_dict={'a': 3, 'b': 51, 'c': 2, 'd': 2};
i=510; edb,eadc->dacb; size_dict={'a': 3, 'b': 19, 'c': 2, 'd': 3, 'e': 2};
i=511; abb,cd->adcb; size_dict={'a': 14, 'b': 6, 'c': 4, 'd': 2};
i=512; bdaf,cfed->ecfb; size_dict={'a': 3, 'b': 4, 'c': 2, 'd': 5, 'e': 3, 'f': 2};
i=513; cae,bdc->ba; size_dict={'a': 3, 'b': 2, 'c': 7, 'd': 4, 'e': 4};
i=514; dagfcb,baec->bfg; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 3};
i=515; bab,ab->; size_dict={'a': 4, 'b': 177};
i=516; ca,ab->bc; size_dict={'a': 60, 'b': 5, 'c': 2};
i=517; adfe,fceb->ba; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 5, 'e': 4, 'f': 3};
i=518; fcdeb,eabddf->fda; size_dict={'a': 3, 'b': 2, 'c': 4, 'd': 2, 'e': 2, 'f': 6};
i=519; cb,bca->cba; size_dict={'a': 110, 'b': 2, 'c': 3};
i=520; aa,bcb->b; size_dict={'a': 5, 'b': 19, 'c': 7};
i=521; b,acd->cdb; size_dict={'a': 4, 'b': 11, 'c': 2, 'd': 7};
i=522; cab,a->cb; size_dict={'a': 13, 'b': 14, 'c': 3};
i=523; dbagfde,abefch->hgdc; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 4, 'h': 2};
i=524; ghdfe,acb->hcaegbf; size_dict={'a': 2, 'b': 3, 'c': 3, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2};
i=525; bda,ca->dcab; size_dict={'a': 9, 'b': 2, 'c': 3, 'd': 13};
i=526; chbead,cfdhbg->aefgc; size_dict={'a': 3, 'b': 3, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2};
i=527; bc,ab->ac; size_dict={'a': 6, 'b': 23, 'c': 5};
i=528; c,ab->ab; size_dict={'a': 3, 'b': 104, 'c': 2};
i=529; beed,bafac->acef; size_dict={'a': 3, 'b': 3, 'c': 6, 'd': 2, 'e': 2, 'f': 3};
i=530; acd,dbc->ba; size_dict={'a': 12, 'b': 2, 'c': 6, 'd': 5};
i=531; eadfg,bcg->agfbce; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 3, 'e': 5, 'f': 2, 'g': 2};
i=532; bca,edf->aedcbf; size_dict={'a': 2, 'b': 5, 'c': 9, 'd': 2, 'e': 2, 'f': 2};
i=533; ca,dbc->dbac; size_dict={'a': 14, 'b': 2, 'c': 2, 'd': 10};
i=534; ab,dbc->dca; size_dict={'a': 15, 'b': 2, 'c': 2, 'd': 11};
i=535; ca,b->bca; size_dict={'a': 4, 'b': 82, 'c': 2};
i=536; bca,->ca; size_dict={'a': 2, 'b': 7, 'c': 48};
i=537; egbhcaf,hfd->agfcb; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 3, 'h': 2};
i=538; bac,a->bc; size_dict={'a': 3, 'b': 7, 'c': 33};
i=539; hbidea,cigfd->adbefgch; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2};
i=540; b,egcfbad->gafe; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 3, 'e': 2, 'f': 3, 'g': 2};
i=541; aedbc,adc->db; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 9, 'e': 8};
i=542; fdbecaf,ec->fab; size_dict={'a': 2, 'b': 2, 'c': 11, 'd': 2, 'e': 2, 'f': 4};
i=543; cbd,cab->d; size_dict={'a': 2, 'b': 3, 'c': 14, 'd': 12};
i=544; cad,bc->ad; size_dict={'a': 10, 'b': 2, 'c': 2, 'd': 23};
i=545; bacd,ad->bca; size_dict={'a': 2, 'b': 16, 'c': 10, 'd': 3};
i=546; gcfejh,fdiecabj->ghadibc; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2};
i=547; dab,bca->dbc; size_dict={'a': 3, 'b': 5, 'c': 8, 'd': 8};
i=548; gcbdae,gfa->cdfe; size_dict={'a': 3, 'b': 2, 'c': 4, 'd': 2, 'e': 3, 'f': 3, 'g': 2};
i=549; bdc,da->ba; size_dict={'a': 3, 'b': 7, 'c': 4, 'd': 12};
i=550; dac,beca->db; size_dict={'a': 5, 'b': 2, 'c': 9, 'd': 2, 'e': 5};
i=551; cafbehd,gec->fdaghb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 6, 'h': 2};
i=552; cbd,accd->bac; size_dict={'a': 9, 'b': 3, 'c': 6, 'd': 6};
i=553; ba,ccb->abc; size_dict={'a': 2, 'b': 47, 'c': 10};
i=554; fcade,abfge->bcdg; size_dict={'a': 2, 'b': 3, 'c': 3, 'd': 3, 'e': 3, 'f': 3, 'g': 2};
i=555; ba,bab->; size_dict={'a': 113, 'b': 9};
i=556; bad,cbd->ca; size_dict={'a': 9, 'b': 4, 'c': 6, 'd': 4};
i=557; efich,bahgd->dchibfa; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2};
i=558; hge,chadbgfa->cfbad; size_dict={'a': 3, 'b': 3, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 3, 'h': 2};
i=559; face,fdeb->bcda; size_dict={'a': 2, 'b': 2, 'c': 9, 'd': 2, 'e': 2, 'f': 7};
i=560; abc,edbca->eda; size_dict={'a': 10, 'b': 6, 'c': 4, 'd': 2, 'e': 2};
i=561; aegcg,bdef->fabdcg; size_dict={'a': 7, 'b': 2, 'c': 2, 'd': 3, 'e': 3, 'f': 2, 'g': 2};
i=562; dgefhcabi,gfibi->dbhac; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2};
i=563; dhiceg,cagfbiheah->fahb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 4, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2};
i=564; fdbgec,ebad->fgadc; size_dict={'a': 3, 'b': 8, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2};
i=565; bda,abce->ec; size_dict={'a': 9, 'b': 6, 'c': 2, 'd': 2, 'e': 4};
i=566; abc,b->ca; size_dict={'a': 2, 'b': 172, 'c': 2};
i=567; bcge,fbgcead->fbad; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 5, 'e': 2, 'f': 2, 'g': 3};
i=568; bd,cba->cda; size_dict={'a': 2, 'b': 23, 'c': 2, 'd': 11};
i=569; hafdeg,hcbgiae->cifd; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 3, 'i': 2};
i=570; fba,deefc->cbafd; size_dict={'a': 5, 'b': 2, 'c': 2, 'd': 2, 'e': 12, 'f': 2};
i=571; bed,edbcfa->fca; size_dict={'a': 3, 'b': 3, 'c': 7, 'd': 2, 'e': 2, 'f': 4};
i=572; bdcae,ec->dba; size_dict={'a': 3, 'b': 2, 'c': 9, 'd': 3, 'e': 6};
i=573; ef,cbdaf->bdace; size_dict={'a': 6, 'b': 2, 'c': 3, 'd': 4, 'e': 3, 'f': 2};
i=574; decac,baf->cbade; size_dict={'a': 2, 'b': 12, 'c': 2, 'd': 2, 'e': 2, 'f': 5};
i=575; ab,c->cba; size_dict={'a': 7, 'b': 3, 'c': 39};
i=576; deba,dace->ceb; size_dict={'a': 3, 'b': 4, 'c': 2, 'd': 4, 'e': 9};
i=577; caa,b->ba; size_dict={'a': 11, 'b': 6, 'c': 15};
i=578; bca,edcba->ecd; size_dict={'a': 4, 'b': 5, 'c': 2, 'd': 6, 'e': 4};
i=579; bcad,cd->ab; size_dict={'a': 15, 'b': 3, 'c': 5, 'd': 4};
i=580; adec,fgb->fadgeb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 5, 'e': 2, 'f': 2, 'g': 6};
i=581; cdgbda,aebgccff->efdb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 6, 'g': 2};
i=582; bacd,cdb->a; size_dict={'a': 2, 'b': 9, 'c': 21, 'd': 2};
i=583; ebdcb,acde->bda; size_dict={'a': 3, 'b': 4, 'c': 5, 'd': 7, 'e': 2};
